lambda_2,lambda_N,spectral_gap,spectral_radius,avg_degree,degree_variance,max_degree,min_degree,degree_assortativity,avg_path_length,diameter,radius,avg_clustering,transitivity,max_betweenness,max_closeness,max_eigenvector,density,efficiency,modularity,num_nodes,num_edges,r_final
11.280333043210305,85.69790569565137,0.3925102207068676,0.13162903984225033,53.93333333333333,270.3555555555555,84.0,19.0,0.33877038305938867,1.803579418344519,4.0,0.40625,0.7211568698841523,0.6802066623434246,0.019920356172577623,0.6866359447004609,0.13164107305828568,0.36196868008948546,0.36196868008948546,0.0,150.0,4045.0,0.9061383949266026
11.570431473482211,86.79440495694179,1.8755280371148437,0.1333084947033422,54.96,238.8250666666667,85.0,20.0,0.22695754570901125,1.7753914988814317,4.0,0.4375,0.7361838970183396,0.6798635238313188,0.0201213009979777,0.6995305164319249,0.13253734127633357,0.36885906040268457,0.36885906040268457,0.0,150.0,4122.0,0.8625609698002614
11.23998601728675,82.98981973459402,0.21685064755475914,0.13543813028191698,52.88,266.9189333333333,81.0,23.0,0.3080872961411524,1.814049217002237,4.0,0.40625,0.7244937798498644,0.6740383124792382,0.022759322542210293,0.6834862385321101,0.13313378170162865,0.3548993288590604,0.3548993288590604,0.0,150.0,3966.0,0.886121175564563
10.024437825701293,82.80011215975873,2.0743988906498885,0.12106792568541012,52.413333333333334,231.1758222222222,81.0,19.0,0.29225318817319257,1.8244295302013422,4.0,0.40625,0.7276876558024756,0.6769289659320828,0.022482174237936747,0.6834862385321101,0.13217865823561115,0.3517673378076063,0.3517673378076063,0.0,150.0,3931.0,0.906128885350425
11.19793519097355,89.60981187898898,1.6451000923435313,0.12496327083127327,54.96,289.8650666666666,88.0,21.0,0.2853139255055969,1.7913199105145414,4.0,0.40625,0.7320391073090591,0.6819706507537997,0.020032419175910504,0.7095238095238096,0.13538110242863288,0.36885906040268457,0.36885906040268457,0.0,150.0,4122.0,0.9185464854852061
10.129512349881345,84.60802584895654,1.8983273388950686,0.1197228306445147,52.653333333333336,253.73315555555553,83.0,21.0,0.2947494288480975,1.8246979865771813,4.0,0.40625,0.7194744938471492,0.6700626432117089,0.019097633081450086,0.6930232558139535,0.13601790302975258,0.3533780760626398,0.3533780760626398,0.0,150.0,3949.0,0.9079806631769325
10.573171434881463,87.12152475380711,2.05096123043389,0.12136118444620574,53.48,258.2762666666667,85.0,19.0,0.24934807165198483,1.8085906040268456,4.0,0.40625,0.7351836756881945,0.6790027320027145,0.021238982357410393,0.6995305164319249,0.13672592166994252,0.35892617449664427,0.35892617449664427,0.0,150.0,4011.0,0.8784035176538432
9.115066107838487,89.41754461182211,3.8457481181120556,0.10193822864862431,54.49333333333333,308.72995555555553,88.0,21.0,0.3285456679727539,1.8049217002237137,4.0,0.40625,0.7293652665333856,0.6837729855820532,0.022613244531179744,0.6962616822429907,0.13510363801501613,0.36572706935123045,0.36572706935123045,0.0,150.0,4087.0,0.8787932441915253
11.161689315410817,83.05118118510578,0.7416183876297122,0.13439531089309215,52.4,242.64,81.0,17.0,0.2507954010397013,1.8184340044742728,4.0,0.40625,0.7215826953231805,0.6675068119891008,0.021824707465407298,0.6866359447004609,0.13476696364136057,0.3516778523489933,0.3516778523489933,0.0,150.0,3930.0,0.8791013195566869
11.010003277216176,87.81968693239708,1.0836015312429748,0.12537055940192082,53.70666666666666,265.8472888888889,86.0,16.0,0.25678696318814176,1.8088590604026846,4.0,0.40625,0.7233000265924415,0.6724394056174405,0.01866814518188915,0.7028301886792453,0.1339992243281686,0.3604474272930649,0.3604474272930649,0.0,150.0,4028.0,0.8697661557838241
